"","company","code","product_number","address","city","country","name","lower_company","first_letter","clean_company","product_name","full_address","company_philips","company_azko","company_van_houten","company_unilever","product_smartphone","product_tv","product_laptop","product_tablet"
"1","Phillips","p","5","Groningensingel 147","arnhem","the netherlands","dhr p. jansen","phillips","p","phillips","Smartphone","Groningensingel 147, arnhem, the netherlands",0,0,0,0,1,0,0,0
"2","phillips","p","43","Groningensingel 148","arnhem","the netherlands","dhr p. hansen","phillips","p","phillips","Smartphone","Groningensingel 148, arnhem, the netherlands",0,0,0,0,1,0,0,0
"3","philips","x","3","Groningensingel 149","arnhem","the netherlands","dhr j. Gansen","philips","p","phillips","Laptop","Groningensingel 149, arnhem, the netherlands",1,0,0,0,0,0,1,0
"4","phllips","x","34","Groningensingel 150","arnhem","the netherlands","dhr p. mansen","phllips","p","phillips","Laptop","Groningensingel 150, arnhem, the netherlands",0,0,0,0,0,0,1,0
"5","phillps","x","12","Groningensingel 151","arnhem","the netherlands","dhr p. fransen","phillps","p","phillips","Laptop","Groningensingel 151, arnhem, the netherlands",0,0,0,0,0,0,1,0
"6","phillipS","p","23","Groningensingel 152","arnhem","the netherlands","dhr p. franssen","phillips","p","phillips","Smartphone","Groningensingel 152, arnhem, the netherlands",0,0,0,0,1,0,0,0
"7","akzo","v","43","Leeuwardenweg 178","arnhem","the netherlands","dhr p. bansen","akzo","a","akzo","TV","Leeuwardenweg 178, arnhem, the netherlands",0,1,0,0,0,1,0,0
"8","Akzo","v","12","Leeuwardenweg 179","arnhem","the netherlands","dhr p. vansen","akzo","a","akzo","TV","Leeuwardenweg 179, arnhem, the netherlands",0,0,0,0,0,1,0,0
"9","AKZO","x","5","Leeuwardenweg 180","arnhem","the netherlands","dhr p. bransen","akzo","a","akzo","Laptop","Leeuwardenweg 180, arnhem, the netherlands",0,0,0,0,0,0,1,0
"10","akz0","p","34","Leeuwardenweg 181","arnhem","the netherlands","dhr p. janssen","akz0","a","akzo","Smartphone","Leeuwardenweg 181, arnhem, the netherlands",0,0,0,0,1,0,0,0
"11","ak zo","q","5","Leeuwardenweg 182","arnhem","the netherlands","mevr l.  rokken","ak zo","a","akzo","Tablet","Leeuwardenweg 182, arnhem, the netherlands",0,0,0,0,0,0,0,1
"12","akzo","q","9","Leeuwardenweg 183","arnhem","the netherlands","mevr l.  lokken","akzo","a","akzo","Tablet","Leeuwardenweg 183, arnhem, the netherlands",0,1,0,0,0,0,0,1
"13","akzo","x","8","Leeuwardenweg 184","arnhem","the netherlands","mevr l.  mokken","akzo","a","akzo","Laptop","Leeuwardenweg 184, arnhem, the netherlands",0,1,0,0,0,0,1,0
"14","phillips","p","56","Delfzijlstraat 54","arnhem","the netherlands","mevr l.  mokken","phillips","p","phillips","Smartphone","Delfzijlstraat 54, arnhem, the netherlands",0,0,0,0,1,0,0,0
"15","fillips","v","67","Delfzijlstraat 55","arnhem","the netherlands","mevr l.  mokken","fillips","f","f","TV","Delfzijlstraat 55, arnhem, the netherlands",0,0,0,0,0,1,0,0
"16","phlips","v","21","Delfzijlstraat 56","arnhem","the netherlands","mevr l.  mokken","phlips","p","phillips","TV","Delfzijlstraat 56, arnhem, the netherlands",0,0,0,0,0,1,0,0
"17","Van Houten","x","45","Delfzijlstraat 57","arnhem","the netherlands","mevr l.  sokken","van houten","v","van Houten","Laptop","Delfzijlstraat 57, arnhem, the netherlands",0,0,0,0,0,0,1,0
"18","van Houten","v","56","Delfzijlstraat 58","arnhem","the netherlands","mevr l.  wokken","van houten","v","van Houten","TV","Delfzijlstraat 58, arnhem, the netherlands",0,0,1,0,0,1,0,0
"19","van houten","v","65","Delfzijlstraat 59","arnhem","the netherlands","mevr l.  kokken","van houten","v","van Houten","TV","Delfzijlstraat 59, arnhem, the netherlands",0,0,0,0,0,1,0,0
"20","van houten","x","21","Delfzijlstraat 60","arnhem","the netherlands","mevr l.  Bokken","van houten","v","van Houten","Laptop","Delfzijlstraat 60, arnhem, the netherlands",0,0,0,0,0,0,1,0
"21","Van Houten","p","23","Delfzijlstraat 61","arnhem","the netherlands","mevr l.  dokken","van houten","v","van Houten","Smartphone","Delfzijlstraat 61, arnhem, the netherlands",0,0,0,0,1,0,0,0
"22","unilver","x","3","Jourestraat 23","arnhem","the netherlands","mevr l.  gokken","unilver","u","unliever","Laptop","Jourestraat 23, arnhem, the netherlands",0,0,0,0,0,0,1,0
"23","unilever","q","4","Jourestraat 24","arnhem","the netherlands","mevr l.  stokken","unilever","u","unliever","Tablet","Jourestraat 24, arnhem, the netherlands",0,0,0,1,0,0,0,1
"24","Unilever","q","6","Jourestraat 25","arnhem","the netherlands","mevr l.  rokken","unilever","u","unliever","Tablet","Jourestraat 25, arnhem, the netherlands",0,0,0,0,0,0,0,1
"25","unilever","q","8","Jourestraat 26","arnhem","the netherlands","mevr l.  rokken","unilever","u","unliever","Tablet","Jourestraat 26, arnhem, the netherlands",0,0,0,1,0,0,0,1
